item_id,user_id,rating,genre
0,0,4.0,Grocery
0,1,1.0,Grocery
0,2,5.0,Grocery
0,3,5.0,Grocery
0,4,5.0,Grocery
0,5,5.0,Grocery
0,6,5.0,Grocery
0,7,1.0,Grocery
0,8,5.0,Grocery
0,9,5.0,Grocery
0,9,5.0,Grocery
0,10,5.0,Grocery
0,11,5.0,Grocery
0,12,3.0,Grocery
0,13,5.0,Grocery
0,14,4.0,Grocery
0,15,1.0,Grocery
0,16,5.0,Grocery
0,17,5.0,Grocery
0,18,2.0,Grocery
0,19,5.0,Grocery
0,20,5.0,Grocery
0,21,2.0,Grocery
0,22,5.0,Grocery
0,23,5.0,Grocery
0,24,5.0,Grocery
0,25,3.0,Grocery
0,26,1.0,Grocery
0,27,5.0,Grocery
0,19,3.0,Grocery
0,28,5.0,Grocery
1,29,5.0,Grocery
1,30,2.0,Grocery
2,31,5.0,Grocery
1,32,5.0,Grocery
2,33,5.0,Grocery
1,34,5.0,Grocery
1,35,5.0,Grocery
1,36,4.0,Grocery
1,37,5.0,Grocery
1,38,5.0,Grocery
2,39,3.0,Grocery
1,40,5.0,Grocery
2,41,5.0,Grocery
1,42,4.0,Grocery
1,43,3.0,Grocery
1,44,4.0,Grocery
2,45,5.0,Grocery
2,46,4.0,Grocery
1,47,5.0,Grocery
1,48,5.0,Grocery
2,49,5.0,Grocery
1,50,5.0,Grocery
1,51,5.0,Grocery
2,52,5.0,Grocery
2,52,5.0,Grocery
1,53,2.0,Grocery
1,54,5.0,Grocery
1,55,4.0,Grocery
1,51,5.0,Grocery
1,56,5.0,Grocery
1,57,5.0,Grocery
2,58,3.0,Grocery
1,59,5.0,Grocery
2,60,3.0,Grocery
2,61,5.0,Grocery
2,62,5.0,Grocery
2,63,5.0,Grocery
2,64,5.0,Grocery
2,65,5.0,Grocery
1,66,5.0,Grocery
1,67,5.0,Grocery
2,68,4.0,Grocery
1,69,5.0,Grocery
1,70,5.0,Grocery
1,71,5.0,Grocery
1,72,5.0,Grocery
1,73,5.0,Grocery
1,74,4.0,Grocery
1,74,3.0,Grocery
2,75,5.0,Grocery
1,76,4.0,Grocery
1,74,5.0,Grocery
1,74,4.0,Grocery
1,77,3.0,Grocery
1,78,5.0,Grocery
1,79,5.0,Grocery
2,80,5.0,Grocery
2,81,5.0,Grocery
2,82,1.0,Grocery
2,83,5.0,Grocery
2,84,5.0,Grocery
2,85,5.0,Grocery
2,86,1.0,Grocery
2,87,5.0,Grocery
3,88,5.0,Grocery
3,89,4.0,Grocery
3,90,5.0,Grocery
3,91,4.0,Grocery
3,92,5.0,Grocery
3,93,5.0,Grocery
3,94,5.0,Grocery
3,95,4.0,Grocery
3,96,5.0,Grocery
3,97,4.0,Grocery
3,98,5.0,Grocery
3,99,5.0,Grocery
3,47,5.0,Grocery
3,100,5.0,Grocery
3,101,4.0,Grocery
3,102,4.0,Grocery
3,103,5.0,Grocery
3,104,5.0,Grocery
3,105,5.0,Grocery
3,106,5.0,Grocery
3,105,5.0,Grocery
3,105,5.0,Grocery
3,107,4.0,Grocery
3,108,5.0,Grocery
3,109,5.0,Grocery
3,110,5.0,Grocery
3,111,4.0,Grocery
4,112,3.0,Grocery
4,113,4.0,Grocery
4,114,4.0,Grocery
4,115,5.0,Grocery
4,116,5.0,Grocery
4,117,5.0,Grocery
4,118,5.0,Grocery
4,119,5.0,Grocery
4,120,4.0,Grocery
4,121,5.0,Grocery
4,122,5.0,Grocery
4,123,5.0,Grocery
4,124,3.0,Grocery
4,125,5.0,Grocery
4,126,3.0,Grocery
4,127,5.0,Grocery
4,128,5.0,Grocery
4,129,5.0,Grocery
4,130,5.0,Grocery
4,131,5.0,Grocery
4,132,4.0,Grocery
4,133,4.0,Grocery
4,134,3.0,Grocery
4,128,5.0,Grocery
4,135,5.0,Grocery
4,136,5.0,Grocery
4,137,4.0,Grocery
4,138,5.0,Grocery
4,139,5.0,Grocery
4,140,4.0,Grocery
5,141,3.0,Grocery
5,142,5.0,Grocery
5,143,5.0,Grocery
5,144,5.0,Grocery
5,43,5.0,Grocery
5,80,5.0,Grocery
5,145,5.0,Grocery
5,146,5.0,Grocery
5,147,5.0,Grocery
5,148,5.0,Grocery
5,149,5.0,Grocery
5,150,5.0,Grocery
5,151,5.0,Grocery
5,152,5.0,Grocery
5,153,5.0,Grocery
5,154,5.0,Grocery
5,155,5.0,Grocery
5,156,5.0,Grocery
5,157,5.0,Grocery
5,158,5.0,Grocery
5,159,3.0,Grocery
5,160,1.0,Grocery
6,161,5.0,Grocery
6,162,5.0,Grocery
6,163,5.0,Grocery
6,164,4.0,Grocery
6,165,5.0,Grocery
6,166,5.0,Grocery
6,167,5.0,Grocery
6,168,5.0,Grocery
6,169,5.0,Grocery
6,170,5.0,Grocery
6,171,5.0,Grocery
6,172,5.0,Grocery
6,173,5.0,Grocery
6,174,5.0,Grocery
6,175,5.0,Grocery
6,176,5.0,Grocery
6,177,5.0,Grocery
6,178,4.0,Grocery
6,179,5.0,Grocery
6,82,3.0,Grocery
6,180,5.0,Grocery
6,181,5.0,Grocery
7,182,5.0,Grocery
7,183,5.0,Grocery
7,184,5.0,Grocery
7,185,5.0,Grocery
7,186,5.0,Grocery
7,187,5.0,Grocery
7,188,5.0,Grocery
7,189,1.0,Grocery
7,190,5.0,Grocery
7,191,5.0,Grocery
7,192,5.0,Grocery
7,193,5.0,Grocery
7,194,5.0,Grocery
7,195,4.0,Grocery
7,196,5.0,Grocery
7,197,5.0,Grocery
7,198,5.0,Grocery
7,199,5.0,Grocery
7,200,5.0,Grocery
7,201,5.0,Grocery
7,202,5.0,Grocery
7,203,5.0,Grocery
7,204,5.0,Grocery
7,205,5.0,Grocery
7,91,4.0,Grocery
7,206,5.0,Grocery
7,207,3.0,Grocery
7,85,5.0,Grocery
7,208,5.0,Grocery
7,152,5.0,Grocery
7,209,5.0,Grocery
7,210,5.0,Grocery
7,100,5.0,Grocery
7,211,5.0,Grocery
7,65,5.0,Grocery
7,212,5.0,Grocery
7,213,5.0,Grocery
7,214,5.0,Grocery
7,215,1.0,Grocery
7,216,5.0,Grocery
7,217,5.0,Grocery
7,82,5.0,Grocery
7,218,5.0,Grocery
7,80,4.0,Grocery
7,219,5.0,Grocery
7,220,4.0,Grocery
7,221,5.0,Grocery
7,222,5.0,Grocery
7,223,5.0,Grocery
7,224,5.0,Grocery
7,225,5.0,Grocery
7,226,5.0,Grocery
7,136,5.0,Grocery
8,30,4.0,Grocery
8,30,5.0,Grocery
8,227,5.0,Grocery
8,228,5.0,Grocery
8,229,5.0,Grocery
8,230,5.0,Grocery
8,231,3.0,Grocery
8,232,5.0,Grocery
8,233,5.0,Grocery
8,234,4.0,Grocery
8,235,5.0,Grocery
8,236,5.0,Grocery
8,237,5.0,Grocery
8,238,5.0,Grocery
8,4,5.0,Grocery
8,239,5.0,Grocery
8,240,5.0,Grocery
8,35,5.0,Grocery
8,241,5.0,Grocery
8,242,5.0,Grocery
8,243,5.0,Grocery
8,244,5.0,Grocery
8,245,4.0,Grocery
8,246,5.0,Grocery
8,146,5.0,Grocery
8,247,5.0,Grocery
8,248,5.0,Grocery
8,177,5.0,Grocery
8,222,5.0,Grocery
8,249,5.0,Grocery
8,250,5.0,Grocery
8,251,5.0,Grocery
8,252,5.0,Grocery
8,253,5.0,Grocery
8,254,1.0,Grocery
8,255,5.0,Grocery
8,256,5.0,Grocery
8,257,5.0,Grocery
8,258,5.0,Grocery
8,43,4.0,Grocery
8,259,5.0,Grocery
8,43,4.0,Grocery
8,43,5.0,Grocery
8,260,5.0,Grocery
8,261,5.0,Grocery
8,262,5.0,Grocery
8,263,5.0,Grocery
8,263,5.0,Grocery
8,264,5.0,Grocery
8,17,5.0,Grocery
8,265,5.0,Grocery
8,266,5.0,Grocery
8,266,5.0,Grocery
8,197,4.0,Grocery
8,267,5.0,Grocery
8,268,5.0,Grocery
8,269,4.0,Grocery
8,270,5.0,Grocery
8,271,5.0,Grocery
8,270,5.0,Grocery
8,272,5.0,Grocery
8,273,5.0,Grocery
8,274,3.0,Grocery
8,275,5.0,Grocery
8,276,4.0,Grocery
8,277,5.0,Grocery
8,278,5.0,Grocery
8,279,4.0,Grocery
8,280,5.0,Grocery
8,281,4.0,Grocery
8,282,5.0,Grocery
8,279,3.0,Grocery
8,273,5.0,Grocery
8,283,5.0,Grocery
8,273,5.0,Grocery
8,50,5.0,Grocery
8,284,5.0,Grocery
8,284,5.0,Grocery
8,282,5.0,Grocery
8,285,5.0,Grocery
8,286,5.0,Grocery
8,287,5.0,Grocery
8,286,4.0,Grocery
8,288,5.0,Grocery
8,288,5.0,Grocery
8,289,5.0,Grocery
8,290,5.0,Grocery
8,291,5.0,Grocery
8,292,5.0,Grocery
8,293,5.0,Grocery
8,293,5.0,Grocery
8,294,5.0,Grocery
8,295,5.0,Grocery
8,296,5.0,Grocery
8,297,5.0,Grocery
8,289,5.0,Grocery
8,298,5.0,Grocery
